countrycode,customerID,PaperlessDate,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount,Disputed,SettledDate,PaperlessBill,DaysToSettle,DaysLate
818,5875-VZQCZ,15/07/2013,1929017575,13/01/2012,12/02/2012,87.89,No,04/02/2012,Paper,22,0
406,2621-XCLEH,24/09/2012,6482427308,13/01/2012,12/02/2012,80.99,Yes,14/03/2012,Paper,61,31
770,9323-NDIOV,09/07/2012,9779194561,13/01/2012,12/02/2012,78.49,No,23/02/2012,Paper,41,11
770,9323-NDIOV,09/07/2012,1228800351,14/01/2012,13/02/2012,47.48,No,29/02/2012,Paper,46,16
770,2026-XLBER,12/11/2012,4730761138,14/01/2012,13/02/2012,45.41,No,30/01/2012,Paper,16,0
897,9460-VAZGD,10/08/2013,8009169493,14/01/2012,13/02/2012,65.9,No,03/02/2012,Paper,20,0
406,3448-OWJOT,15/09/2012,1297791719,15/01/2012,14/02/2012,48.64,Yes,16/02/2012,Paper,32,2
406,8976-AMJEO,03/03/2012,3267864290,15/01/2012,14/02/2012,57.55,No,15/02/2012,Paper,31,1
770,6831-FIODB,08/05/2013,3961690887,15/01/2012,14/02/2012,46.28,No,13/02/2012,Paper,29,0
897,3676-CQAIF,29/07/2013,9938923133,15/01/2012,14/02/2012,48.06,No,22/02/2012,Paper,38,8
406,7938-EVASK,15/12/2012,2794370654,16/01/2012,15/02/2012,87.78,No,20/02/2012,Paper,35,5
391,8820-BLYDZ,19/03/2013,6895927608,16/01/2012,15/02/2012,78.37,No,23/01/2012,Paper,7,0
818,5148-SYKLB,28/08/2013,7867318195,16/01/2012,15/02/2012,74.01,No,01/02/2012,Paper,16,0
770,6831-FIODB,08/05/2013,8765324049,16/01/2012,15/02/2012,62.84,No,10/02/2012,Paper,25,0
391,9212-BTDMX,22/04/2012,9010843366,16/01/2012,15/02/2012,49.25,No,08/02/2012,Paper,23,0
391,9014-WENVB,03/08/2013,3102041998,17/01/2012,16/02/2012,69.99,No,15/02/2012,Paper,29,0
391,8156-PCYBM,03/03/2012,9236280634,17/01/2012,16/02/2012,67.15,No,29/02/2012,Paper,43,13
897,0688-XNJRO,24/06/2012,8493182849,18/01/2012,17/02/2012,18.03,No,22/03/2012,Paper,64,34
770,9323-NDIOV,09/07/2012,8568370573,18/01/2012,17/02/2012,56.55,Yes,12/03/2012,Paper,54,24
391,6160-HCSFI,10/01/2013,8731613770,18/01/2012,17/02/2012,77.44,No,11/02/2012,Paper,24,0
406,7938-EVASK,15/12/2012,5570997637,19/01/2012,18/02/2012,43.77,No,29/02/2012,Paper,41,11
406,9771-QTLGZ,10/12/2012,1920990033,20/01/2012,19/02/2012,56.51,Yes,15/02/2012,Paper,26,0
818,6627-ELFBK,26/11/2012,3205321485,20/01/2012,19/02/2012,60.52,No,11/02/2012,Paper,22,0
391,2676-DZINU,19/10/2012,4732348996,20/01/2012,19/02/2012,78.09,No,10/02/2012,Paper,21,0
406,5573-KSOIA,30/09/2013,8391971820,20/01/2012,19/02/2012,70.91,No,23/02/2012,Paper,34,4
770,2687-XWAMA,03/04/2013,5831823402,21/01/2012,20/02/2012,32.78,No,02/02/2012,Paper,12,0
391,7209-MDWKR,09/10/2013,5916379112,21/01/2012,20/02/2012,81.9,No,16/02/2012,Paper,26,0
406,6048-QPZCF,13/07/2012,7867299622,21/01/2012,20/02/2012,72.06,No,31/01/2012,Paper,10,0
391,6708-DPYTF,02/08/2012,8738019739,21/01/2012,20/02/2012,92.19,No,19/02/2012,Paper,29,0
406,8389-TCXFQ,24/08/2012,287254498,22/01/2012,21/02/2012,72.49,No,21/02/2012,Paper,30,0
770,7228-LEPPM,30/04/2012,5307752603,23/01/2012,22/02/2012,87.1,No,08/03/2012,Paper,45,15
406,6833-ETVHD,30/04/2012,9676303588,23/01/2012,22/02/2012,78.33,No,26/02/2012,Paper,34,4
391,8156-PCYBM,03/03/2012,81932735,24/01/2012,23/02/2012,72.7,No,03/03/2012,Paper,39,9
391,7329-TWKLF,20/11/2013,4847248435,24/01/2012,23/02/2012,80.71,No,11/02/2012,Paper,18,0
818,5613-UHVMG,31/05/2012,4984149604,24/01/2012,23/02/2012,49.62,Yes,21/03/2012,Paper,57,27
897,8942-ERSWK,11/01/2013,1901766579,25/01/2012,24/02/2012,7.55,Yes,20/02/2012,Paper,26,0
406,9117-LYRCE,05/07/2013,2110258079,25/01/2012,24/02/2012,22.09,No,06/03/2012,Paper,41,11
818,8102-ABPKQ,29/08/2013,6922423741,25/01/2012,24/02/2012,66.92,Yes,12/03/2012,Paper,47,17
391,3598-DNURW,29/08/2012,8645315959,26/01/2012,25/02/2012,47.02,No,09/02/2012,Paper,14,0
406,5573-KSOIA,30/09/2013,9247964767,26/01/2012,25/02/2012,98.51,Yes,15/03/2012,Paper,49,19
818,5148-SYKLB,28/08/2013,18104516,27/01/2012,26/02/2012,94,Yes,22/02/2012,Paper,26,0
818,9181-HEKGV,16/10/2013,986187012,27/01/2012,26/02/2012,86.92,Yes,08/03/2012,Paper,41,11
391,3569-VJWXS,09/04/2013,1148330280,27/01/2012,26/02/2012,58.71,Yes,29/02/2012,Paper,33,3
391,2423-QOKIO,11/05/2013,5600941018,27/01/2012,26/02/2012,53.73,No,05/03/2012,Paper,38,8
406,5284-DJOZO,11/09/2012,8615012107,27/01/2012,26/02/2012,53.81,No,11/02/2012,Paper,15,0
391,9212-BTDMX,22/04/2012,2824604487,28/01/2012,27/02/2012,74.25,No,13/02/2012,Paper,16,0
770,7050-KQLDO,29/09/2012,5865665884,28/01/2012,27/02/2012,64.89,No,16/02/2012,Paper,19,0
770,2687-XWAMA,03/04/2013,7298116315,28/01/2012,27/02/2012,60.17,No,08/02/2012,Paper,11,0
770,7228-LEPPM,30/04/2012,1657046645,29/01/2012,28/02/2012,27.63,No,21/03/2012,Paper,52,22
818,9181-HEKGV,16/10/2013,7948353278,29/01/2012,28/02/2012,59.08,Yes,19/03/2012,Paper,50,20
897,8690-EEBEO,05/12/2012,8146803755,29/01/2012,28/02/2012,49.83,No,06/03/2012,Paper,37,7
391,6632-CGYHU,08/01/2013,8273477766,29/01/2012,28/02/2012,51.13,No,21/02/2012,Paper,23,0
406,9322-YCTQO,06/04/2012,9482778673,29/01/2012,28/02/2012,96.02,No,18/03/2012,Paper,49,19
391,3598-DNURW,29/08/2012,360452276,30/01/2012,29/02/2012,56.37,No,20/02/2012,Paper,21,0
406,3448-OWJOT,15/09/2012,5267406931,30/01/2012,29/02/2012,85.22,Yes,11/03/2012,Paper,41,11
770,0465-DTULQ,04/03/2013,5519301828,30/01/2012,29/02/2012,59.34,Yes,21/03/2012,Paper,51,21
818,5924-UOPGH,06/06/2013,6224002160,30/01/2012,29/02/2012,72.1,No,23/02/2012,Paper,24,0
897,9286-VLKMI,13/02/2013,5231639672,31/01/2012,01/03/2012,73.32,No,04/02/2012,Paper,4,0
391,9014-WENVB,03/08/2013,7303916505,31/01/2012,01/03/2012,69.55,No,28/02/2012,Paper,28,0
406,9758-AIEIK,23/04/2012,8166776603,31/01/2012,01/03/2012,81.13,No,20/02/2012,Paper,20,0
391,6708-DPYTF,02/08/2012,1321403149,01/02/2012,02/03/2012,80.31,No,14/03/2012,Paper,42,12
391,7841-HROAQ,15/09/2013,5213055907,01/02/2012,02/03/2012,56.2,Yes,09/03/2012,Paper,37,7
391,3598-DNURW,29/08/2012,6610467625,01/02/2012,02/03/2012,84.13,No,19/02/2012,Paper,18,0
406,9322-YCTQO,06/04/2012,7885181731,01/02/2012,02/03/2012,87.13,No,15/03/2012,Paper,43,13
897,7654-DOLHO,04/04/2012,9769799106,01/02/2012,02/03/2012,20.47,No,10/03/2012,Paper,38,8
818,2824-HJQPP,04/09/2013,5211032490,02/02/2012,03/03/2012,70.47,No,03/03/2012,Paper,30,0
770,5592-UQXSS,31/12/2012,6791929008,02/02/2012,03/03/2012,44.92,No,10/03/2012,Paper,37,7
406,9725-EZTEJ,17/03/2012,6864971541,02/02/2012,03/03/2012,73.82,Yes,28/02/2012,Paper,26,0
391,2820-XGXSB,26/01/2012,5120935092,03/02/2012,04/03/2012,83.15,No,12/02/2012,Electronic,9,0
391,9014-WENVB,03/08/2013,7237340902,03/02/2012,04/03/2012,68.48,No,05/03/2012,Paper,31,1
818,8364-UWVLM,10/11/2012,2506087360,04/02/2012,05/03/2012,69.78,No,01/03/2012,Paper,26,0
818,5613-UHVMG,31/05/2012,6659854030,04/02/2012,05/03/2012,75.04,No,07/03/2012,Paper,32,2
897,3271-YDPUJ,02/04/2013,8412636726,04/02/2012,05/03/2012,43.29,No,28/02/2012,Paper,24,0
897,6177-VTITE,26/10/2012,282342168,06/02/2012,07/03/2012,63.28,No,20/02/2012,Paper,14,0
391,8820-BLYDZ,19/03/2013,2205310400,06/02/2012,07/03/2012,71.46,No,19/02/2012,Paper,13,0
406,4640-FGEJI,04/04/2013,6546750144,06/02/2012,07/03/2012,54.6,Yes,17/03/2012,Paper,40,10
818,5924-UOPGH,06/06/2013,273425635,07/02/2012,08/03/2012,113.76,Yes,19/03/2012,Paper,41,11
406,7245-CKNCN,04/06/2012,6391230941,07/02/2012,08/03/2012,75.19,No,06/03/2012,Paper,28,0
818,3271-HYHDN,28/04/2013,7419219204,07/02/2012,08/03/2012,72.49,No,10/02/2012,Paper,3,0
897,3676-CQAIF,29/07/2013,8623313803,07/02/2012,08/03/2012,44.52,No,17/03/2012,Paper,39,9
406,7245-CKNCN,04/06/2012,8840023232,07/02/2012,08/03/2012,88.89,No,29/02/2012,Paper,22,0
406,6048-QPZCF,13/07/2012,882058462,08/02/2012,09/03/2012,86.44,Yes,01/03/2012,Paper,22,0
897,7372-CESLR,11/01/2013,3940788745,08/02/2012,09/03/2012,30.74,No,03/03/2012,Paper,24,0
897,0688-XNJRO,24/06/2012,6088063371,08/02/2012,09/03/2012,68.28,No,25/03/2012,Paper,46,16
406,1447-YZKCL,10/08/2012,7167433652,08/02/2012,09/03/2012,48.47,No,18/03/2012,Paper,39,9
897,6391-GBFQJ,25/11/2013,893037091,09/02/2012,10/03/2012,6.43,No,25/02/2012,Paper,16,0
897,9286-VLKMI,13/02/2013,4756268669,09/02/2012,10/03/2012,53.33,No,20/02/2012,Paper,11,0
770,3831-FXWYK,08/03/2013,7832966824,10/02/2012,11/03/2012,64.54,No,22/03/2012,Paper,41,11
406,7600-OISKG,19/07/2013,700683520,11/02/2012,12/03/2012,65.67,Yes,12/03/2012,Paper,30,0
770,7228-LEPPM,30/04/2012,1899442732,11/02/2012,12/03/2012,45,No,21/03/2012,Paper,39,9
391,7209-MDWKR,09/10/2013,3605319346,11/02/2012,12/03/2012,39.67,No,18/03/2012,Paper,36,6
391,2125-HJDLA,22/05/2012,4722300351,11/02/2012,12/03/2012,68.08,No,28/03/2012,Paper,46,16
391,2820-XGXSB,26/01/2012,6626163507,11/02/2012,12/03/2012,64.87,No,14/02/2012,Electronic,3,0
897,0688-XNJRO,24/06/2012,6689193712,11/02/2012,12/03/2012,27.22,No,15/03/2012,Paper,33,3
406,4092-ZAVRG,19/05/2012,9401804366,11/02/2012,12/03/2012,43.62,No,18/02/2012,Paper,7,0
391,0379-NEVHP,06/04/2013,2998565198,12/02/2012,13/03/2012,28.21,No,28/02/2012,Paper,16,0
818,5148-SYKLB,28/08/2013,6882106680,12/02/2012,13/03/2012,69.43,No,04/03/2012,Paper,21,0
391,6708-DPYTF,02/08/2012,428957919,13/02/2012,14/03/2012,86.74,No,30/03/2012,Paper,46,16
391,2125-HJDLA,22/05/2012,5370094352,13/02/2012,14/03/2012,24.25,No,29/03/2012,Paper,45,15
406,9758-AIEIK,23/04/2012,5939094178,13/02/2012,14/03/2012,55.42,No,03/03/2012,Paper,19,0
391,2820-XGXSB,26/01/2012,7821939794,13/02/2012,14/03/2012,70.45,No,17/02/2012,Electronic,4,0
897,1408-OQZUE,14/09/2012,9180666472,13/02/2012,14/03/2012,68.28,No,19/03/2012,Paper,35,5
770,7856-ODQFO,05/08/2012,9532348315,13/02/2012,14/03/2012,40.16,No,04/03/2012,Paper,20,0
770,7050-KQLDO,29/09/2012,4633078854,14/02/2012,15/03/2012,78.36,No,16/03/2012,Paper,31,1
818,7695-NKUXM,21/11/2012,6998465986,14/02/2012,15/03/2012,30.05,No,21/02/2012,Paper,7,0
818,5613-UHVMG,31/05/2012,7032806438,14/02/2012,15/03/2012,46.66,No,27/03/2012,Paper,42,12
406,4632-QZOKX,19/03/2013,7043574740,14/02/2012,15/03/2012,83.42,Yes,20/03/2012,Paper,35,5
391,8156-PCYBM,03/03/2012,7171739266,14/02/2012,15/03/2012,76.47,No,28/03/2012,Paper,43,13
406,4651-PMEXQ,04/07/2012,7871204146,14/02/2012,15/03/2012,83.09,No,13/03/2012,Paper,28,0
770,7758-WKLVM,06/02/2012,3524717788,15/02/2012,16/03/2012,56.36,No,25/03/2012,Electronic,39,9
897,3271-YDPUJ,02/04/2013,1539465403,16/02/2012,17/03/2012,28.22,No,14/03/2012,Paper,27,0
391,2125-HJDLA,22/05/2012,4297912131,16/02/2012,17/03/2012,79.21,No,25/03/2012,Paper,38,8
391,9212-BTDMX,22/04/2012,4930326600,16/02/2012,17/03/2012,58.85,No,06/03/2012,Paper,19,0
770,6831-FIODB,08/05/2013,5365850526,16/02/2012,17/03/2012,57.07,No,16/03/2012,Paper,29,0
897,7372-CESLR,11/01/2013,6843062937,16/02/2012,17/03/2012,47.45,No,17/03/2012,Paper,30,0
391,2676-DZINU,19/10/2012,6932718624,16/02/2012,17/03/2012,72.79,No,07/03/2012,Paper,20,0
818,9181-HEKGV,16/10/2013,8143888831,16/02/2012,17/03/2012,64.02,No,16/03/2012,Paper,29,0
897,7372-CESLR,11/01/2013,1057997164,17/02/2012,18/03/2012,20.8,No,08/03/2012,Paper,20,0
391,5920-DPXLN,11/11/2012,4587287662,17/02/2012,18/03/2012,61.95,No,10/03/2012,Paper,22,0
818,7695-NKUXM,21/11/2012,4870747963,17/02/2012,18/03/2012,70.57,Yes,07/03/2012,Paper,19,0
897,8942-ERSWK,11/01/2013,5198527757,17/02/2012,18/03/2012,38.97,No,29/02/2012,Paper,12,0
391,3569-VJWXS,09/04/2013,7866551143,17/02/2012,18/03/2012,51.07,No,11/03/2012,Paper,23,0
897,8690-EEBEO,05/12/2012,75181247,18/02/2012,19/03/2012,83.33,No,30/03/2012,Paper,41,11
406,4632-QZOKX,19/03/2013,1294595544,18/02/2012,19/03/2012,72.18,Yes,04/04/2012,Paper,46,16
391,1080-NDGAE,28/09/2012,106360977,19/02/2012,20/03/2012,93.48,Yes,26/03/2012,Paper,36,6
391,0709-LZRJV,20/06/2013,2806337298,19/02/2012,20/03/2012,62.85,No,25/03/2012,Paper,35,5
406,3448-OWJOT,15/09/2012,5902046936,19/02/2012,20/03/2012,74.94,Yes,28/03/2012,Paper,38,8
897,9250-VHLWY,03/06/2013,3030097145,20/02/2012,21/03/2012,68.41,No,18/03/2012,Paper,27,0
406,5284-DJOZO,11/09/2012,6321822878,20/02/2012,21/03/2012,59.19,Yes,20/03/2012,Paper,29,0
406,2621-XCLEH,24/09/2012,537837854,21/02/2012,22/03/2012,79.51,No,07/04/2012,Paper,46,16
897,1408-OQZUE,14/09/2012,1012251297,21/02/2012,22/03/2012,26.05,Yes,21/04/2012,Paper,60,30
897,1408-OQZUE,14/09/2012,1660153943,21/02/2012,22/03/2012,45.08,No,28/03/2012,Paper,36,6
818,3568-JJMFW,09/01/2012,8158808494,21/02/2012,22/03/2012,56.21,Yes,10/03/2012,Electronic,18,0
406,4632-QZOKX,19/03/2013,8664445095,21/02/2012,22/03/2012,76.19,Yes,03/04/2012,Paper,42,12
406,2621-XCLEH,24/09/2012,3867210105,22/02/2012,23/03/2012,69.8,No,05/04/2012,Paper,43,13
406,0783-PEPYR,27/11/2013,4813721122,22/02/2012,23/03/2012,107.11,No,31/03/2012,Paper,38,8
897,9460-VAZGD,10/08/2013,5025374541,22/02/2012,23/03/2012,57.14,No,13/03/2012,Paper,20,0
406,7938-EVASK,15/12/2012,4371434034,23/02/2012,24/03/2012,83.08,No,05/04/2012,Paper,42,12
406,5284-DJOZO,11/09/2012,9583697144,23/02/2012,24/03/2012,67.59,No,29/02/2012,Paper,6,0
406,5284-DJOZO,11/09/2012,1839518389,24/02/2012,25/03/2012,44.76,Yes,26/03/2012,Paper,31,1
770,0625-TNJFG,15/08/2013,5853943614,24/02/2012,25/03/2012,62.39,No,25/03/2012,Paper,30,0
406,6048-QPZCF,13/07/2012,6114978639,24/02/2012,25/03/2012,72.76,Yes,19/03/2012,Paper,24,0
391,9174-IYKOC,27/11/2012,9687805368,24/02/2012,25/03/2012,52.04,No,20/03/2012,Paper,25,0
391,5196-TWQXF,20/06/2012,863594173,25/02/2012,26/03/2012,65.6,No,01/04/2012,Paper,36,6
391,6160-HCSFI,10/01/2013,2603539730,25/02/2012,26/03/2012,83.21,No,19/03/2012,Paper,23,0
391,7329-TWKLF,20/11/2013,6273968942,25/02/2012,26/03/2012,92.11,No,22/03/2012,Paper,26,0
897,3676-CQAIF,29/07/2013,8598688213,25/02/2012,26/03/2012,25.93,No,02/04/2012,Paper,37,7
391,3569-VJWXS,09/04/2013,9346541006,25/02/2012,26/03/2012,55.09,No,22/03/2012,Paper,26,0
391,2423-QOKIO,11/05/2013,1280597932,26/02/2012,27/03/2012,56.42,No,18/03/2012,Paper,21,0
406,4632-QZOKX,19/03/2013,3840426166,27/02/2012,28/03/2012,70.89,Yes,13/04/2012,Paper,46,16
391,5920-DPXLN,11/11/2012,7197069769,27/02/2012,28/03/2012,48.75,No,19/03/2012,Paper,21,0
770,2687-XWAMA,03/04/2013,8444345875,27/02/2012,28/03/2012,41.71,No,11/03/2012,Paper,13,0
406,5284-DJOZO,11/09/2012,3148914031,28/02/2012,29/03/2012,78.91,No,14/03/2012,Paper,15,0
391,0709-LZRJV,20/06/2013,3550686615,28/02/2012,29/03/2012,40.49,No,19/03/2012,Paper,20,0
818,2824-HJQPP,04/09/2013,5181531445,29/02/2012,30/03/2012,60.86,No,28/03/2012,Paper,28,0
818,8364-UWVLM,10/11/2012,6025796693,29/02/2012,30/03/2012,68.31,No,29/03/2012,Paper,29,0
897,1168-BEASA,06/11/2013,8011401581,29/02/2012,30/03/2012,24.63,No,21/03/2012,Paper,21,0
391,1080-NDGAE,28/09/2012,3392014041,01/03/2012,31/03/2012,56.54,No,24/03/2012,Paper,23,0
391,0379-NEVHP,06/04/2013,3819986935,01/03/2012,31/03/2012,48.65,Yes,17/04/2012,Paper,47,17
391,9174-IYKOC,27/11/2012,3066073542,02/03/2012,01/04/2012,53.79,No,02/04/2012,Paper,31,1
897,9883-SDWFS,08/07/2013,4205152845,02/03/2012,01/04/2012,26.37,No,30/03/2012,Paper,28,0
406,7245-CKNCN,04/06/2012,4240902395,02/03/2012,01/04/2012,69.13,No,23/03/2012,Paper,21,0
406,2621-XCLEH,24/09/2012,5834509499,02/03/2012,01/04/2012,67.51,No,28/04/2012,Paper,57,27
897,3676-CQAIF,29/07/2013,9080028887,02/03/2012,01/04/2012,45.97,No,09/04/2012,Paper,38,8
770,3831-FXWYK,08/03/2013,6211621442,03/03/2012,02/04/2012,117.01,No,20/04/2012,Paper,48,18
391,5920-DPXLN,11/11/2012,7022807641,03/03/2012,02/04/2012,61.17,No,29/03/2012,Paper,26,0
391,3569-VJWXS,09/04/2013,7117238418,03/03/2012,02/04/2012,36.26,No,28/03/2012,Paper,25,0
897,9460-VAZGD,10/08/2013,9254517013,03/03/2012,02/04/2012,29.39,No,21/03/2012,Paper,18,0
818,8102-ABPKQ,29/08/2013,1562504690,04/03/2012,03/04/2012,83.15,Yes,20/04/2012,Paper,47,17
406,6048-QPZCF,13/07/2012,6198121107,04/03/2012,03/04/2012,62.49,Yes,04/04/2012,Paper,31,1
391,8156-PCYBM,03/03/2012,8243963846,04/03/2012,03/04/2012,59.3,No,31/03/2012,Electronic,27,0
818,2824-HJQPP,04/09/2013,9313451295,04/03/2012,03/04/2012,48.11,No,25/03/2012,Paper,21,0
406,9117-LYRCE,05/07/2013,3961518373,05/03/2012,04/04/2012,68.66,Yes,22/04/2012,Paper,48,18
770,9928-IJYBQ,18/03/2012,4152504148,05/03/2012,04/04/2012,66.66,No,06/04/2012,Paper,32,2
818,3271-HYHDN,28/04/2013,8871842653,05/03/2012,04/04/2012,57.07,No,14/03/2012,Paper,9,0
770,0625-TNJFG,15/08/2013,1234438336,06/03/2012,05/04/2012,41.89,No,28/03/2012,Paper,22,0
391,3598-DNURW,29/08/2012,7987067619,06/03/2012,05/04/2012,67.83,No,28/03/2012,Paper,22,0
818,2824-HJQPP,04/09/2013,9340071189,06/03/2012,05/04/2012,58.14,No,23/03/2012,Paper,17,0
770,7260-ZHAKS,17/06/2012,2254159769,07/03/2012,06/04/2012,72.83,No,03/04/2012,Paper,27,0
770,7050-KQLDO,29/09/2012,3170339882,07/03/2012,06/04/2012,62.24,No,05/04/2012,Paper,29,0
391,2125-HJDLA,22/05/2012,5983180705,07/03/2012,06/04/2012,38.45,No,22/04/2012,Paper,46,16
770,7050-KQLDO,29/09/2012,222477564,08/03/2012,07/04/2012,65.7,Yes,09/04/2012,Paper,32,2
391,9174-IYKOC,27/11/2012,5995642092,08/03/2012,07/04/2012,35.46,No,12/04/2012,Paper,35,5
818,1604-LIFKX,16/03/2013,9385395392,08/03/2012,07/04/2012,54.41,No,01/05/2012,Paper,54,24
770,7228-LEPPM,30/04/2012,519700354,09/03/2012,08/04/2012,32.17,No,18/04/2012,Paper,40,10
391,9174-IYKOC,27/11/2012,6409983012,09/03/2012,08/04/2012,84.25,No,09/04/2012,Paper,31,1
770,2026-XLBER,12/11/2012,8207456004,09/03/2012,08/04/2012,18.57,No,01/04/2012,Paper,23,0
391,8156-PCYBM,03/03/2012,4023295233,10/03/2012,09/04/2012,71.8,No,04/04/2012,Electronic,25,0
391,6160-HCSFI,10/01/2013,4392918366,10/03/2012,09/04/2012,81.87,No,04/04/2012,Paper,25,0
818,6004-KITZM,01/09/2013,7176685266,10/03/2012,09/04/2012,75.99,No,01/04/2012,Paper,22,0
818,2824-HJQPP,04/09/2013,7472160858,10/03/2012,09/04/2012,66.88,Yes,17/04/2012,Paper,38,8
406,6048-QPZCF,13/07/2012,7496830993,10/03/2012,09/04/2012,75.33,Yes,08/04/2012,Paper,29,0
406,0783-PEPYR,27/11/2013,7640437486,10/03/2012,09/04/2012,75.62,No,12/04/2012,Paper,33,3
391,1080-NDGAE,28/09/2012,8193630211,10/03/2012,09/04/2012,85.82,Yes,14/04/2012,Paper,35,5
406,9758-AIEIK,23/04/2012,3969347325,11/03/2012,10/04/2012,61.19,Yes,21/04/2012,Paper,41,11
818,5924-UOPGH,06/06/2013,4682843239,11/03/2012,10/04/2012,56.47,Yes,07/04/2012,Paper,27,0
897,7654-DOLHO,04/04/2012,6288740790,11/03/2012,10/04/2012,23.05,No,16/04/2012,Paper,36,6
391,0709-LZRJV,20/06/2013,3636727153,12/03/2012,11/04/2012,67.83,Yes,12/04/2012,Paper,31,1
391,6160-HCSFI,10/01/2013,1661281311,13/03/2012,12/04/2012,76.21,No,09/04/2012,Paper,27,0
770,7228-LEPPM,30/04/2012,7881731765,13/03/2012,12/04/2012,46.22,No,21/04/2012,Paper,39,9
391,6632-CGYHU,08/01/2013,9183796742,13/03/2012,12/04/2012,81.85,No,26/03/2012,Paper,13,0
770,0706-NRGUP,09/04/2013,9787421130,13/03/2012,12/04/2012,16.62,No,23/04/2012,Paper,41,11
818,5924-UOPGH,06/06/2013,232048622,14/03/2012,13/04/2012,67.6,No,11/04/2012,Paper,28,0
406,3448-OWJOT,15/09/2012,1070459520,14/03/2012,13/04/2012,86.1,Yes,28/04/2012,Paper,45,15
897,9250-VHLWY,03/06/2013,8576086686,14/03/2012,13/04/2012,38,No,29/03/2012,Paper,15,0
391,1080-NDGAE,28/09/2012,8610241270,14/03/2012,13/04/2012,95.82,No,31/03/2012,Paper,17,0
818,8102-ABPKQ,29/08/2013,1454620628,15/03/2012,14/04/2012,66.88,Yes,05/05/2012,Paper,51,21
